data_file_name,lrecl,unit
RG335.BNTRK.BN01,50,"1st Bn., 2nd Infantry"
RG335.BNTRK.BN03,50,"2nd Bn., 3rd Infantry"
RG335.BNTRK.BN04,50,"1st Bn., 5th Infantry"
RG335.BNTRK.BN05,50,"2nd Bn., 34th Armor"
RG335.BNTRK.BN06,50,"5th Bn., 6th Artillery"
RG335.BNTRK.BN06G,50,"Gaps for 5th Bn., 6th Artillery"
RG335.BNTRK.BN07,50,"1st Bn., 5th Artillery"
RG335.BNTRK.BN08,50,"8th Bn., 6th Artillery"
RG335.BNTRK.BN09,50,"1st Bn., 7th Artillery"
RG335.BNTRK.BN10G,50,"Gaps for 3rd Bn., 4th Cavalry"
RG335.BNTRK.BN11,50,"3rd Bn., 7th Infantry"
RG335.BNTRK.BN12,50,"4th Bn., 9th Infantry"
RG335.BNTRK.BN13,50,"2nd Bn., 12th Infantry"
RG335.BNTRK.BN14,50,"4th Bn., 12th Infantry"
RG335.BNTRK.BN18,50,"7th Bn., 11th Artillery"
RG335.BNTRK.BN31,50,"2nd Bn., 22nd Infantry"
RG335.BNTRK.BN37,50,"2nd Bn., 33rd Artillery"
RG335.BNTRK.BN38,50,"2nd Bn., 35th Artillery"
RG335.BNTRK.BN39,50,"2nd Bn., 40th Artillery"
RG335.BNTRK.BN42,50,"2nd Bn., 27th Infantry"
RG335.BNTRK.BN43,50,"1st Bn., 28th Infantry"
RG335.BNTRK.BN44,50,"2nd Bn., 28th Infantry"
RG335.BNTRK.BN52,50,"4th Bn., 39th Infantry"
RG335.BNTRK.BN53,50,"2nd Bn., 47th Infantry"
RG335.BNTRK.BN57,50,"6th Bn., 77th Artillery"
RG335.BNTRK.BN41,500,"1st Bn., 27nd Infantry"
RG335.BNTRK.BN17,500,"7th Bn., 9th Artillery"
RG335.BNTRK.BN28,500,"1st Bn., 27th Artillery"
RG335.BNTRK.BN30,500,"1st Bn., 11th Air Cavalry"
RG335.BNTRK.BN45,500,"6th Bn., 56th Artillery"
RG335.BNTRK.BN47,500,"2nd Bn., 4th Artillery"
RG335.BNTRK.BN48,500,"7th Bn., 8th Artillery"
RG335.BNTRK.BN49,500,"1st Bn., 16th Infantry"
RG335.BNTRK.BN50,500,"2nd Bn., 39th Infantry"
RG335.BNTRK.BN51,500,"3rd Bn., 39th Infantry"
RG335.BNTRK.BN54,500,"5th Bn., 60th Infantry"
RG335.BNTRK.BN56,500,"6th Bn., 15th Artillery"
RG335.BNTRK.BN58,500,"1st Bn., 83rd Artillery"
RG335.BNTRK.BN07A,600,"1st Bn., 5th Artillery"
RG335.BNTRK.BN16,600,"1st Bn., 8th Artillery"
RG335.BNTRK.BN20,600,"1st Bn., 4th Air Cavalry"
RG335.BNTRK.BN21,600,"2nd Bn., 14th Infantry"
RG335.BNTRK.BN22,600,"2nd Bn., 16th Infantry"
RG335.BNTRK.BN23,600,"1st Bn., 18th Infantry"
RG335.BNTRK.BN24,600,"2nd Bn., 18th Infantry"
RG335.BNTRK.BN26,600,"3rd Bn., 13th Artillery"
RG335.BNTRK.BN32,600,"3rd Bn., 22nd Infantry"
RG335.BNTRK.BN33,600,"4th Bn., 23rd Infantry"
RG335.BNTRK.BN34,600,"1st Bn., 26th Infantry"
RG335.BNTRK.BN36,600,"2nd Bn., 32nd Artillery"
RG335.BNTRK.BN37A,600,"2nd Bn., 33rd Artillery"
