6 1203S007330025000   0211XS745615      
6A0616S002110025000   0211ZD035032      
6A0616S007110025000   0211AT895538      
6A0616S008110025000   0211AT995677      
660806L101110025000   0  1AT975600      
660806L101110025001   0  2AT844700      
660806L101110025002   0  3AT884300      
660806L101110025003   0  4BT015000      
660806L101130025000   0  1YD350610      
660806L101130025001   0  2YD458546      
660806L101130025002   0  3YD482375      
660806L101130025003   0  4YD497647      
660806L101210025000   0  1BR218400      
660806L101210025001   0  2BR623300      
660806L101210025002   0  3BR332500      
660806L101210025003   0  4BR686500      
660806L101220025000   0  1BR914800      
660806L101220025001   0  2CR083200      
660806L101220025002   0  3CR003200      
660806L101220025003   0  4CR114600      
660806L101230025000   0  1AR830960      
660806L101230025001   0  2AS140870      
660806L101230025002   0  3AS700060      
660806L101230025003   0  4AR840940      
660806L101310025000   0  1XT861100      
660806L101310025001   0  2XT832000      
660806L101310025002   0  3XT902000      
660806L101310025003   0  4XT921000      
660806L101330025000   0  1XT460660      
660806L101330025001   0  2XS660900      
660806L101330025002   0  3XS460900      
660806L101330025003   0  4XT660600      
660806L101430025000   0  1XR525710      
660806L101430025001   0  2XR725910      
660806L101430025002   0  3XS725710      
660806L101430025003   0  4XR525910      
660806L102110025000   0  1XD946600      
660806L102110025001   0  2YD226300      
660806L102110025002   0  3YD207500      
660806L102110025003   0  4XD944900      
660806L102130025000   0  1YD116590      
660806L102130025001   0  2YD080700      
660806L102130025002   0  3YD217627      
660806L102130025003   0  4YD190740      
660806L102210025000   0  1BR623300      
660806L102210025001   0  2BR332500      
660806L102210025002   0  3BR218400      
660806L102210025003   0  4BR686500      
660806L102220025000   0  1BN639100      
660806L102220025001   0  2BN836200      
660806L102220025002   0  3BN998700      
660806L102220025003   0  4BN779700      
660806L102230025000   0  1BR890560      
660806L102230025001   0  2BR950570      
660806L102230025002   0  3BR950590      
660806L102230025003   0  4BR910590      
660806L102310025000   0  1XU602000      
660806L102310025001   0  2XT404800      
660806L102310025002   0  3XT863800      
660806L102310025003   0  4XU862000      
660806L102330025000   0  1YS210830      
660806L102330025001   0  2YD330760      
660806L102330025002   0  3YS330830      
660806L102330025003   0  4YS210760      
660806L102430025000   0  1XS391332      
660806L102430025001   0  2XS848320      
660806L102430025002   0  3XS453320      
660806L102430025003   0  4XS420337      
660806L103110025000   0  1BT077000      
660806L103110025001   0  2BT076700      
660806L103110025002   0  3BT116500      
660806L103110025003   0  4BT096900      
660806L103130025000   0  1YA680310      
660806L103130025001   0  2YA750290      
660806L103130025002   0  3YD752537      
660806L103130025003   0  4YA700386      
660806L103210025000   0  1YA546000      
660806L103210025001   0  2ZV927000      
660806L103210025002   0  3YV827000      
660806L103210025003   0  4ZA226000      
660806L103220025000   0  1BR564800      
660806L103220025001   0  2BR614100      
660806L103220025002   0  3BR564200      
660806L103220025003   0  4CR645000      
660806L103230025000   0  1ZA000200      
660806L103230025001   0  2ZA000040      
660806L103230025002   0  3ZA200000      
660806L103230025003   0  4ZA000400      
660806L103310025000   0  1XZ774700      
660806L103310025001   0  2XZ774200      
660806L103310025002   0  3XT834200      
660806L103310025003   0  4XT904700      
660806L103330025000   0  1XT438053      
660806L103330025001   0  2XT480093      
660806L103330025002   0  3XS516045      
660806L103330025003   0  4XT457027      
660806L103430025000   0  1XS200594      
660806L103430025001   0  2XS226558      
660806L103430025002   0  3XS216556      
660806L103430025003   0  4XS210590      
660806L104110025000   0  1AT975600      
660806L104110025001   0  2AT844700      
660806L104110025002   0  3AT884300      
660806L104110025003   0  4AT015000      
660806L104130025000   0  1BT120570      
660806L104130025001   0  2BT140505      
660806L104130025002   0  3BT105505      
660806L104130025003   0  4BT090547      
660806L104210025000   0  1YA546000      
660806L104210025001   0  2ZV927000      
660806L104210025002   0  3YV827000      
660806L104210025003   0  4ZA226000      
660806L104220025000   0  1UA546000      
660806L104220025001   0  2ZV927000      
660806L104220025002   0  3YV827000      
660806L104220025003   0  4ZA226000      
660806L104230025000   0  1BR990040      
660806L104230025001   0  2CQ110066      
660806L104230025002   0  3CQ100460      
660806L104230025003   0  4BR990066      
660806L104310025000   0  1XT728800      
660806L104310025001   0  2XT723500      
660806L104310025002   0  3XT813500      
660806L104310025003   0  4XT818900      
660806L104330025000   0  1YT557362      
660806L104330025001   0  2YT757562      
660806L104330025002   0  3YT557562      
660806L104330025003   0  4YT757362      
660806L104430025000   0  1XS885521      
660806L104430025001   0  2XS900491      
660806L104430025002   0  3XS942512      
660806L104430025003   0  4XS897545      
660806L105110025000   0  1AT242900      
660806L105110025001   0  2BT282500      
660806L105110025002   0  3BT088460      
660806L105110025003   0  4AT881900      
660806L105130025000   0  1BT000503      
660806L105130025001   0  2BT070703      
660806L105130025002   0  3BT070503      
660806L105130025003   0  4BT000703      
660806L105210025000   0  1CQ055400      
660806L105210025001   0  2CQ291800      
660806L105210025002   0  3CQ023400      
660806L105210025003   0  4CQ155400      
660806L105220025000   0  1CQ055400      
660806L105220025001   0  2CQ291800      
660806L105220025002   0  3CQ023400      
660806L105220025003   0  4CQ155400      
660806L105230025000   0  1ZU050815      
660806L105230025001   0  2ZU150950      
660806L105230025002   0  3ZU150815      
660806L105230025003   0  4ZU050950      
660806L105310025000   0  1XT652700      
660806L105310025001   0  2XT772700      
660806L105310025002   0  3XT833800      
660806L105310025003   0  4XT743800      
660806L105330025000   0  1XS580590      
660806L105330025001   0  2XS530630      
660806L105330025002   0  3XS520690      
660806L105330025003   0  4XS550560      
660806L105430025000   0  1WS750315      
660806L105430025001   0  2WS950515      
660806L105430025002   0  3WS950315      
660806L105430025003   0  4WS750515      
660806L106130025000   0  1BT026500      
660806L106130025001   0  2BT040850      
660806L106130025002   0  3BT040650      
660806L106130025003   0  4BT020850      
660806L106210025000   0  1YB666200      
660806L106210025001   0  2ZB911000      
660806L106210025002   0  3YB731000      
660806L106210025003   0  4ZB908800      
660806L106230025000   0  1AQ990006      
660806L106230025001   0  2BQ050008      
660806L106230025002   0  3BQ050006      
660806L106230025003   0  4AQ990008      
660806L106310025000   0  1XT563300      
660806L106310025001   0  2XT392100      
660806L106310025002   0  3XS489000      
660806L106310025003   0  4XT621300      
660806L106330025000   0  1YT480040      
660806L106330025001   0  2YT510100      
660806L106330025002   0  3YT510040      
660806L106330025003   0  4YT510040      
660806L106430025000   0  1XS000310      
660806L106430025001   0  2XS190510      
660806L106430025002   0  3XS190310      
660806L106430025003   0  4XS000510      
660806L107130025000   0  1BT234126      
660806L107130025001   0  2BT230126      
660806L107130025002   0  3BT210198      
660806L107130025003   0  4BT273210      
660806L107230025000   0  1AQ745115      
660806L107230025001   0  2AQ945315      
660806L107230025002   0  3AQ945115      
660806L107230025003   0  4AQ745315      
660806L107310025000   0  1XT055900      
660806L107310025001   0  2XT055300      
660806L107310025002   0  3XT553300      
660806L107310025003   0  4XT425200      
660806L107330025000   0  1YS120880      
660806L107330025001   0  2YS120810      
660806L107330025002   0  3YS170812      
660806L107330025003   0  4YS170880      
660806L107430025000   0  1XS000323      
660806L107430025001   0  2XS150523      
660806L107430025002   0  3XS150323      
660806L107430025003   0  4XS000523      
660806L108130025000   0  1BT283231      
660806L108130025001   0  2BT232198      
660806L108130025002   0  3BT260170      
660806L108130025003   0  4BT308200      
660806L108230025000   0  1YU955240      
660806L108230025001   0  2ZU010190      
660806L108230025002   0  3ZU015290      
660806L108230025003   0  4YU970190      
660806L108310025000   0  1XT687100      
660806L108310025001   0  2YT580300      
660806L108310025002   0  3YT854300      
660806L108310025003   0  4ZT007500      
660806L108330025000   0  1XS560530      
660806L108330025001   0  2XS590530      
660806L108330025002   0  3XS600530      
660806L108330025003   0  4XS590510      
660806L108430025000   0  1XS090440      
660806L108430025001   0  2XS290600      
660806L108430025002   0  3XS290440      
660806L108430025003   0  4XS090640      
660806L109130025000   0  1AT910320      
660806L109130025001   0  2BT140420      
660806L109130025002   0  3BT080320      
660806L109130025003   0  4BT020440      
660806L109230025000   0  1YU840100      
660806L109230025001   0  2YU860400      
660806L109230025002   0  3YU860100      
660806L109230025003   0  4YU840400      
660806L109310025000   0  1XT815000      
660806L109310025001   0  2XT882400      
660806L109310025002   0  3YT152800      
660806L109310025003   0  4YT094800      
660806L109330025000   0  1XT960160      
660806L109330025001   0  2XT960060      
660806L109330025002   0  3XS900070      
660806L109330025003   0  4XT900160      
660806L109430025000   0  1XS150390      
660806L109430025001   0  2XS350590      
660806L109430025002   0  3XS350390      
660806L109430025003   0  4XS150590      
660806L110230025000   0  1ZT110820      
660806L110230025001   0  2ZT140820      
660806L110230025002   0  3ZT140790      
660806L110230025003   0  4ZT110700      
660806L110330025000   0  1XU734123      
660806L110330025001   0  2XU754143      
660806L110330025002   0  3XU754123      
660806L110330025003   0  4XU734143      
660806L110430025000   0  1XS386546      
660806L110430025001   0  2XS353548      
660806L110430025002   0  3XS340510      
660806L110430025003   0  4XS383499      
660806L111230025000   0  1BN765552      
660806L111230025001   0  2BN804614      
660806L111230025002   0  3BN748665      
660806L111230025003   0  4BN775606      
660806L111330025000   0  1XT750740      
660806L111330025001   0  2XT770760      
660806L111330025002   0  3XT770740      
660806L111330025003   0  4XT750760      
660806L111430025000   0  1XS323327      
660806L111430025001   0  2XS523527      
660806L111430025002   0  3XS523327      
660806L111430025003   0  4XS323527      
660806L112230025000   0  1AN600100      
660806L112230025001   0  2AN880300      
660806L112230025002   0  3AN880100      
660806L112230025003   0  4AN600300      
660806L112330025000   0  1XT628126      
660806L112330025001   0  2XT693421      
660806L112330025002   0  3XT528010      
660806L112330025003   0  4XT593321      
660806L112430025000   0  1XS220000      
660806L112430025001   0  2XS420200      
660806L112430025002   0  3XS420000      
660806L112430025003   0  4XS220200      
660806L113330025000   0  1XT750880      
660806L113330025001   0  2XT850980      
660806L113330025002   0  3XT810150      
660806L113330025003   0  4XT800100      
660806L113430025000   0  1XS130945      
