UNIQUEOBS,HAMLETUSID,X,x1,PROVINCENAME,DISTRICTNAME,VILLAGENAME,HAMLETNAME,TOTALPOP,PERMPOP,TEMPPOP,NONHAMPOPULATION,ADMINID,UTM,URBAN,SUM02,SUM09,BLANK,LAT,LONG,REGIONID,PROVINCEID,DISTRICTID,VILLAGEID,HAMLETID,SOURCE,RELIGION,ETHNICITY,OCCUPATION,ADMINCENTER,DISTANCETOBORDER
1,101010100,1,2,QUANG TRI           ,HAI LANG            ,HAI-AN              ,                    ,18,20000,0,182,101010103,,, , ,,,,1,1,1,1,0,,,,,,
2,101010101,2,3,QUANG TRI           ,HAI LANG            ,HAI-AN              ,TAN-AN              ,0,0,0,,101000000,48QYD466584,9,N,N,,16.79872222,107.3098056,1,1,1,1,1,HES70,2,6,3,0,31486.92546
3,101010102,3,4,QUANG TRI           ,HAI LANG            ,HAI-AN              ,MY-THUY             ,0,0,0,,101000000,48QYD466583,9,N,N,,16.79780556,107.3098056,1,1,1,1,2,HES70,2,6,3,0,31560.14452
4,101010103,4,5,QUANG TRI           ,HAI LANG            ,HAI-AN              ,THUAN-DAU           ,0,0,0,,101000000,48QYD466585,9,N,N,,16.79961111,107.3098333,1,1,1,1,3,HES70,2,6,3,1,31418.13158
5,101010200,5,6,QUANG TRI           ,HAI LANG            ,HAI-BA              ,                    ,5,30000,0,53,101010201,,, , ,,,,1,1,1,2,0,,,,,,
6,101010201,6,7,QUANG TRI           ,HAI LANG            ,HAI-BA              ,BA DU               ,0,0,0,,101000000,48QYD448540,9,N,N,,16.75916667,107.2924444,1,1,1,2,1,HES70,2,6,1,0,33522.94494
7,101010202,7,8,QUANG TRI           ,HAI LANG            ,HAI-BA              ,CO-LUY              ,0,0,0,,101000000,48QYD454535,9,N,N,,16.75458333,107.2980278,1,1,1,2,2,HES70,2,6,1,1,34292.53862
8,101010203,8,9,QUANG TRI           ,HAI LANG            ,HAI-BA              ,DA-NGHI             ,0,0,0,,101000000,48QYD458529,9,N,N,,16.74911111,107.3017222,1,1,1,2,3,HES70,2,6,1,0,35010.58683
9,101010204,9,10,QUANG TRI           ,HAI LANG            ,HAI-BA              ,PHUONG LA DONG      ,0,0,0,,101000000,48QYD442547,9,N,N,,16.76555556,107.2869167,1,1,1,2,4,HES70,2,6,1,0,32602.53563
10,101010205,10,11,QUANG TRI           ,HAI LANG            ,HAI-BA              ,PHUONG LANG TAY     ,0,0,0,,101000000,48QYD436553,9,N,N,,16.77102778,107.2813333,1,1,1,2,5,HES70,2,6,1,0,31757.13194
11,101010206,11,12,QUANG TRI           ,HAI LANG            ,HAI-BA              ,PHU-HAI             ,0,0,0,,101000000,48QYD420553,9,N,N,,16.77119444,107.2663333,1,1,1,2,6,HES70,2,6,1,0,30753.88791
12,101010300,12,13,QUANG TRI           ,HAI LANG            ,HAI-CHANH           ,                    ,3,60000,0,36,101010303,,, , ,,,,1,1,1,3,0,,,,,,
13,101010301,13,14,QUANG TRI           ,HAI LANG            ,HAI-CHANH           ,HOI-KY              ,0,0,0,,101000000,48QYD471401,9,N,N,,16.63336111,107.3125,1,1,1,3,1,HES70,2,6,1,0,42819.17224
14,101010302,14,15,QUANG TRI           ,HAI LANG            ,HAI-CHANH           ,VAN-PHONG           ,0,0,0,,101000000,48QYD480384,9,N,N,,16.61791667,107.32075,1,1,1,3,2,HES70,2,6,1,0,41888.56015
15,101010303,15,16,QUANG TRI           ,HAI LANG            ,HAI-CHANH           ,MY-CHANH            ,0,0,0,,101000000,48QYD464401,9,N,N,,16.63344444,107.3059444,1,1,1,3,3,HES70,2,6,1,1,42438.4006
16,101010304,16,17,QUANG TRI           ,HAI LANG            ,HAI-CHANH           ,TAN-LUONG           ,0,0,0,,101000000,48QYD464396,9,N,N,,16.62891667,107.3058889,1,1,1,3,4,HES70,2,6,1,0,42018.30606
17,101010305,17,18,QUANG TRI           ,HAI LANG            ,HAI-CHANH           ,XUAN-LOC            ,0,0,0,,101000000,48QYD457394,9,N,N,,16.62719444,107.2993056,1,1,1,3,5,HES70,2,6,1,0,41471.11597
