UNITO|YEAR|MONTH|UNAME|PROV|UTMQD|UTMEST|UTMNO|VCMR|CTZ|SERV|MISSION|CNTRY|UTYPE|CTLHQ|STATN|DIAID|CORDS|UNTYPE|RESERVED
M11110|66|10|1/1 MAR                       |103|BT|104|583|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|66|11|1/1 MAR                       |103|BT|104|583|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|66|12|1/1 MAR                       |103|BT|104|583|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|01|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|02|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|03|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|04|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|05|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|06|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|07|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR             |DANANG         |                 |             |18TAA|            
M11110|67|08|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR             |DANANG         |                 |             |18TAA|            
M11110|67|09|1/1 MAR                       |103|BT|106|584|05|1|M|  |US|C01|1ST MAR             |DANANG         |                 |             |18TAA|            
M11110|67|10|1/1 MAR                       |101|YD|110|624|11|1|M|  |US|C01|9TH MAR DIV         |DONG HA        |                 |             |18TAA|            
M11110|67|11|1/1 MAR                       |103|BT|104|583|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|67|12|1/1 MAR                       |101|YD|334|496|11|1|M|  |US|C01|1ST MAR             |DONG HA        |                 |             |18TAA|            
M11110|68|01|1/1 MAR                       |101|YD|334|496|11|1|M|  |US|C01|1ST MAR             |DONG HA        |                 |             |18TAA|            
M11110|68|02|1/1 MAR                       |102|YD|775|227|11|1|M|  |US|C01|1ST MAR             |PHU BAI        |                 |             |18TAA|            
M11110|68|03|1/1 MAR                       |102|YD|881|130|11|1|M|  |US|C01|1ST MAR             |PHU BAI        |                 |             |18TAA|            
M11110|68|04|1/1 MAR                       |101|XD|820|450|11|1|M|  |US|C01|1ST MAR             |KHE SANH       |                 |             |18TAA|            
M11110|68|05|1/1 MAR                       |101|XD|820|450|11|1|M|  |US|C01|1ST MAR             |KHE SANH       |                 |             |18TAA|            
M11110|68|06|1/1 MAR                       |101|XD|820|450|11|1|M|  |US|C01|1ST MAR             |KHE SANH       |                 |             |18TAA|            
M11110|68|07|1/1 MAR                       |101|YD|116|700|11|1|M|  |US|C01|1ST MAR             |DONG HA        |                 |             |18TAA|            
M11110|68|08|1/1 MAR                       |103|BT|015|628|05|1|M|  |US|C01|1ST MAR REGT        |DANANG         |                 |             |18TAA|            
M11110|68|09|1/1 MAR                       |103|BT|015|628|05|1|M|  |US|C01|1ST MAR             |DANANG         |                 |             |18TAA|            
